country_region,sub_region_1,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
United Kingdom,,2020-02-15,-12.0,-7.0,-35.0,-12.0,-4.0,2.0
United Kingdom,,2020-02-16,-7.0,-6.0,-28.0,-7.0,-3.0,1.0
United Kingdom,,2020-02-17,10.0,1.0,24.0,-2.0,-14.0,2.0
United Kingdom,,2020-02-18,7.0,-1.0,20.0,-3.0,-14.0,2.0
United Kingdom,,2020-02-19,6.0,-2.0,8.0,-4.0,-14.0,3.0
United Kingdom,,2020-02-20,5.0,-2.0,4.0,-5.0,-14.0,3.0
United Kingdom,,2020-02-21,5.0,-1.0,10.0,-3.0,-15.0,3.0
United Kingdom,,2020-02-22,-4.0,-2.0,-7.0,-2.0,-2.0,1.0
United Kingdom,,2020-02-23,-1.0,-2.0,-5.0,3.0,-1.0,0.0
United Kingdom,,2020-02-24,-3.0,-1.0,-9.0,-2.0,-2.0,1.0
United Kingdom,,2020-02-25,-1.0,4.0,3.0,1.0,1.0,0.0
United Kingdom,,2020-02-26,1.0,0.0,6.0,-1.0,1.0,0.0
United Kingdom,,2020-02-27,2.0,1.0,8.0,0.0,0.0,0.0
United Kingdom,,2020-02-28,1.0,1.0,-13.0,0.0,-1.0,1.0
United Kingdom,,2020-02-29,1.0,1.0,-14.0,-2.0,0.0,0.0
United Kingdom,,2020-03-01,7.0,2.0,14.0,5.0,1.0,-1.0
United Kingdom,,2020-03-02,4.0,4.0,14.0,0.0,1.0,0.0
United Kingdom,,2020-03-03,2.0,3.0,11.0,-1.0,1.0,0.0
United Kingdom,,2020-03-04,2.0,3.0,2.0,-2.0,1.0,1.0
United Kingdom,,2020-03-05,-1.0,2.0,1.0,-3.0,0.0,1.0
United Kingdom,,2020-03-06,5.0,6.0,22.0,1.0,1.0,0.0
United Kingdom,,2020-03-07,0.0,2.0,7.0,-1.0,1.0,0.0
United Kingdom,,2020-03-08,4.0,2.0,15.0,2.0,1.0,-1.0
United Kingdom,,2020-03-09,0.0,4.0,4.0,-3.0,0.0,1.0
United Kingdom,,2020-03-10,-2.0,5.0,4.0,-4.0,0.0,1.0
United Kingdom,,2020-03-11,0.0,5.0,10.0,-6.0,0.0,1.0
United Kingdom,,2020-03-12,-1.0,11.0,5.0,-8.0,-1.0,2.0
United Kingdom,,2020-03-13,-2.0,11.0,12.0,-9.0,-4.0,2.0
United Kingdom,,2020-03-14,-10.0,7.0,1.0,-15.0,-2.0,2.0
United Kingdom,,2020-03-15,-11.0,7.0,-1.0,-16.0,-4.0,2.0
United Kingdom,,2020-03-16,-3.0,20.0,29.0,-16.0,-9.0,4.0
United Kingdom,,2020-03-17,-15.0,21.0,6.0,-27.0,-16.0,7.0
United Kingdom,,2020-03-18,-21.0,22.0,-3.0,-34.0,-23.0,10.0
United Kingdom,,2020-03-19,-21.0,24.0,2.0,-37.0,-27.0,11.0
United Kingdom,,2020-03-20,-28.0,10.0,6.0,-40.0,-29.0,13.0
United Kingdom,,2020-03-21,-50.0,1.0,2.0,-46.0,-25.0,11.0
United Kingdom,,2020-03-22,-56.0,-14.0,20.0,-46.0,-30.0,9.0
United Kingdom,,2020-03-23,-45.0,-8.0,1.0,-53.0,-45.0,17.0
United Kingdom,,2020-03-24,-71.0,-24.0,-14.0,-64.0,-58.0,24.0
United Kingdom,,2020-03-25,-73.0,-26.0,-12.0,-68.0,-64.0,26.0
United Kingdom,,2020-03-26,-74.0,-28.0,-11.0,-70.0,-66.0,27.0
United Kingdom,,2020-03-27,-76.0,-29.0,-26.0,-71.0,-66.0,28.0
United Kingdom,,2020-03-28,-83.0,-39.0,-54.0,-74.0,-57.0,20.0
United Kingdom,,2020-03-29,-85.0,-46.0,-52.0,-75.0,-55.0,15.0
United Kingdom,,2020-03-30,-74.0,-32.0,-33.0,-73.0,-69.0,27.0
United Kingdom,,2020-03-31,-74.0,-30.0,-21.0,-72.0,-70.0,27.0
United Kingdom,,2020-04-01,-75.0,-32.0,-29.0,-73.0,-69.0,28.0
United Kingdom,,2020-04-02,-75.0,-32.0,-24.0,-73.0,-70.0,29.0
United Kingdom,,2020-04-03,-76.0,-30.0,-25.0,-72.0,-69.0,29.0
United Kingdom,,2020-04-04,-81.0,-36.0,-38.0,-72.0,-57.0,19.0
United Kingdom,,2020-04-05,-82.0,-41.0,-29.0,-70.0,-54.0,15.0
United Kingdom,,2020-04-06,-73.0,-31.0,-20.0,-72.0,-70.0,27.0
United Kingdom,,2020-04-07,-73.0,-29.0,-7.0,-69.0,-70.0,27.0
United Kingdom,,2020-04-08,-73.0,-27.0,-14.0,-70.0,-70.0,27.0
United Kingdom,,2020-04-09,-71.0,-20.0,-13.0,-70.0,-70.0,27.0
United Kingdom,,2020-04-10,-78.0,-33.0,-18.0,-75.0,-80.0,32.0
United Kingdom,,2020-04-11,-81.0,-32.0,-37.0,-70.0,-57.0,19.0
United Kingdom,,2020-04-12,-89.0,-63.0,-33.0,-71.0,-58.0,16.0
United Kingdom,,2020-04-13,-78.0,-41.0,-21.0,-78.0,-83.0,31.0
United Kingdom,,2020-04-14,-71.0,-26.0,-10.0,-69.0,-70.0,27.0
United Kingdom,,2020-04-15,-72.0,-27.0,-6.0,-69.0,-69.0,27.0
United Kingdom,,2020-04-16,-73.0,-27.0,-7.0,-70.0,-69.0,28.0
United Kingdom,,2020-04-17,-75.0,-30.0,-33.0,-71.0,-68.0,29.0
United Kingdom,,2020-04-18,-81.0,-37.0,-47.0,-71.0,-54.0,19.0
United Kingdom,,2020-04-19,-80.0,-40.0,-12.0,-66.0,-49.0,14.0
United Kingdom,,2020-04-20,-71.0,-30.0,-2.0,-68.0,-67.0,25.0
United Kingdom,,2020-04-21,-72.0,-28.0,2.0,-67.0,-67.0,26.0
United Kingdom,,2020-04-22,-72.0,-28.0,1.0,-67.0,-66.0,27.0
United Kingdom,,2020-04-23,-72.0,-27.0,6.0,-67.0,-66.0,27.0
United Kingdom,,2020-04-24,-73.0,-26.0,-4.0,-66.0,-65.0,27.0
United Kingdom,,2020-04-25,-78.0,-32.0,-23.0,-65.0,-51.0,18.0
United Kingdom,,2020-04-26,-78.0,-37.0,-10.0,-64.0,-48.0,14.0
United Kingdom,,2020-04-27,-69.0,-29.0,-3.0,-66.0,-65.0,25.0
United Kingdom,,2020-04-28,-74.0,-33.0,-42.0,-71.0,-66.0,25.0
United Kingdom,,2020-04-29,-73.0,-30.0,-31.0,-69.0,-66.0,27.0
United Kingdom,,2020-04-30,-74.0,-28.0,-31.0,-69.0,-66.0,27.0
United Kingdom,,2020-05-01,-74.0,-27.0,-22.0,-67.0,-64.0,27.0
United Kingdom,,2020-05-02,-78.0,-30.0,-18.0,-63.0,-49.0,17.0
United Kingdom,,2020-05-03,-79.0,-37.0,-21.0,-64.0,-46.0,14.0
United Kingdom,,2020-05-04,-69.0,-27.0,4.0,-64.0,-64.0,24.0
United Kingdom,,2020-05-05,-70.0,-25.0,4.0,-64.0,-64.0,25.0
United Kingdom,,2020-05-06,-69.0,-22.0,16.0,-62.0,-63.0,25.0
United Kingdom,,2020-05-07,-67.0,-15.0,16.0,-62.0,-63.0,25.0
United Kingdom,,2020-05-08,-75.0,-28.0,14.0,-68.0,-77.0,30.0
United Kingdom,,2020-05-09,-78.0,-29.0,-6.0,-62.0,-48.0,17.0
United Kingdom,,2020-05-10,-80.0,-37.0,-38.0,-68.0,-45.0,14.0
United Kingdom,,2020-05-11,-67.0,-25.0,-8.0,-64.0,-62.0,24.0
United Kingdom,,2020-05-12,-68.0,-23.0,7.0,-62.0,-62.0,24.0
United Kingdom,,2020-05-13,-68.0,-23.0,6.0,-62.0,-61.0,25.0
United Kingdom,,2020-05-14,-67.0,-21.0,28.0,-61.0,-61.0,23.0
United Kingdom,,2020-05-15,-69.0,-21.0,21.0,-60.0,-60.0,24.0
United Kingdom,,2020-05-16,-74.0,-25.0,5.0,-58.0,-43.0,15.0
United Kingdom,,2020-05-17,-74.0,-29.0,27.0,-55.0,-39.0,12.0
United Kingdom,,2020-05-18,-63.0,-20.0,36.0,-59.0,-59.0,22.0
United Kingdom,,2020-05-19,-64.0,-18.0,51.0,-57.0,-59.0,22.0
United Kingdom,,2020-05-20,-64.0,-16.0,68.0,-56.0,-59.0,22.0
United Kingdom,,2020-05-21,-64.0,-16.0,51.0,-58.0,-59.0,23.0
United Kingdom,,2020-05-22,-66.0,-18.0,14.0,-59.0,-58.0,24.0
United Kingdom,,2020-05-23,-72.0,-23.0,-12.0,-59.0,-41.0,15.0
United Kingdom,,2020-05-24,-71.0,-25.0,38.0,-52.0,-36.0,11.0
United Kingdom,,2020-05-25,-64.0,-23.0,136.0,-60.0,-77.0,24.0
United Kingdom,,2020-05-26,-60.0,-14.0,66.0,-55.0,-59.0,21.0
United Kingdom,,2020-05-27,-61.0,-15.0,65.0,-55.0,-58.0,22.0
United Kingdom,,2020-05-28,-60.0,-12.0,77.0,-55.0,-58.0,22.0
United Kingdom,,2020-05-29,-62.0,-12.0,67.0,-53.0,-56.0,22.0
United Kingdom,Aberdeen City,2020-02-15,-3.0,-4.0,-32.0,-4.0,-1.0,2.0
United Kingdom,Aberdeen City,2020-02-16,6.0,0.0,-13.0,4.0,2.0,-1.0
United Kingdom,Aberdeen City,2020-02-17,11.0,0.0,24.0,2.0,-10.0,1.0
United Kingdom,Aberdeen City,2020-02-18,5.0,0.0,26.0,1.0,-6.0,1.0
United Kingdom,Aberdeen City,2020-02-19,2.0,-2.0,9.0,4.0,-6.0,2.0
United Kingdom,Aberdeen City,2020-02-20,-1.0,3.0,-1.0,-1.0,1.0,0.0
United Kingdom,Aberdeen City,2020-02-21,0.0,-1.0,-10.0,-3.0,-1.0,1.0
United Kingdom,Aberdeen City,2020-02-22,0.0,1.0,0.0,3.0,3.0,1.0
United Kingdom,Aberdeen City,2020-02-23,3.0,0.0,4.0,18.0,4.0,-1.0
United Kingdom,Aberdeen City,2020-02-24,-4.0,-7.0,-33.0,1.0,0.0,2.0
United Kingdom,Aberdeen City,2020-02-25,0.0,6.0,12.0,6.0,2.0,0.0
United Kingdom,Aberdeen City,2020-02-26,2.0,0.0,-8.0,6.0,1.0,1.0
United Kingdom,Aberdeen City,2020-02-27,1.0,2.0,-1.0,5.0,3.0,0.0
United Kingdom,Aberdeen City,2020-02-28,3.0,0.0,-18.0,7.0,1.0,0.0
United Kingdom,Aberdeen City,2020-02-29,7.0,4.0,2.0,9.0,3.0,-1.0
United Kingdom,Aberdeen City,2020-03-01,7.0,3.0,-15.0,16.0,2.0,-1.0
United Kingdom,Aberdeen City,2020-03-02,5.0,3.0,17.0,8.0,2.0,0.0
United Kingdom,Aberdeen City,2020-03-03,1.0,4.0,14.0,4.0,1.0,0.0
United Kingdom,Aberdeen City,2020-03-04,5.0,6.0,10.0,1.0,1.0,0.0
United Kingdom,Aberdeen City,2020-03-05,-1.0,5.0,20.0,2.0,2.0,0.0
United Kingdom,Aberdeen City,2020-03-06,0.0,2.0,4.0,2.0,1.0,0.0
United Kingdom,Aberdeen City,2020-03-07,-2.0,2.0,-15.0,3.0,1.0,0.0
United Kingdom,Aberdeen City,2020-03-08,1.0,5.0,21.0,10.0,0.0,-1.0
United Kingdom,Aberdeen City,2020-03-09,3.0,2.0,-2.0,1.0,0.0,1.0
United Kingdom,Aberdeen City,2020-03-10,3.0,5.0,14.0,3.0,1.0,0.0
United Kingdom,Aberdeen City,2020-03-11,0.0,4.0,-8.0,-4.0,0.0,1.0
United Kingdom,Aberdeen City,2020-03-12,-5.0,9.0,-7.0,-8.0,0.0,1.0
United Kingdom,Aberdeen City,2020-03-13,-4.0,9.0,-8.0,-7.0,-2.0,1.0
United Kingdom,Aberdeen City,2020-03-14,-13.0,8.0,-34.0,-11.0,-2.0,3.0
United Kingdom,Aberdeen City,2020-03-15,-8.0,5.0,-22.0,-4.0,-4.0,1.0
United Kingdom,Aberdeen City,2020-03-16,-6.0,17.0,-14.0,-16.0,-9.0,4.0
United Kingdom,Aberdeen City,2020-03-17,-18.0,17.0,-10.0,-25.0,-16.0,7.0
United Kingdom,Aberdeen City,2020-03-18,-24.0,19.0,-4.0,-28.0,-24.0,10.0
United Kingdom,Aberdeen City,2020-03-19,-28.0,20.0,1.0,-32.0,-29.0,12.0
United Kingdom,Aberdeen City,2020-03-20,-35.0,7.0,-9.0,-34.0,-31.0,13.0
United Kingdom,Aberdeen City,2020-03-21,-57.0,1.0,-12.0,-44.0,-26.0,11.0
United Kingdom,Aberdeen City,2020-03-22,-60.0,-15.0,-6.0,-44.0,-32.0,8.0
United Kingdom,Aberdeen City,2020-03-23,-53.0,-14.0,-32.0,-51.0,-48.0,18.0
United Kingdom,Aberdeen City,2020-03-24,-75.0,-26.0,-30.0,-59.0,-61.0,24.0
United Kingdom,Aberdeen City,2020-03-25,-78.0,-26.0,-25.0,-63.0,-67.0,27.0
United Kingdom,Aberdeen City,2020-03-26,-80.0,-28.0,-16.0,-67.0,-69.0,28.0
United Kingdom,Aberdeen City,2020-03-27,-80.0,-28.0,-28.0,-69.0,-69.0,30.0
United Kingdom,Aberdeen City,2020-03-28,-87.0,-36.0,-55.0,-73.0,-60.0,
United Kingdom,Aberdeen City,2020-03-29,-86.0,-41.0,-46.0,-73.0,-58.0,
United Kingdom,Aberdeen City,2020-03-30,-77.0,-32.0,-15.0,-68.0,-70.0,27.0
United Kingdom,Aberdeen City,2020-03-31,-79.0,-30.0,-30.0,-68.0,-71.0,28.0
United Kingdom,Aberdeen City,2020-04-01,-79.0,-30.0,-27.0,-68.0,-70.0,29.0
United Kingdom,Aberdeen City,2020-04-02,-81.0,-33.0,-33.0,-72.0,-71.0,30.0
United Kingdom,Aberdeen City,2020-04-03,-80.0,-29.0,-33.0,-70.0,-70.0,30.0
United Kingdom,Aberdeen City,2020-04-04,-86.0,-31.0,-30.0,-71.0,-60.0,
United Kingdom,Aberdeen City,2020-04-05,-84.0,-37.0,-39.0,-71.0,-57.0,
United Kingdom,Aberdeen City,2020-04-06,-78.0,-30.0,-20.0,-69.0,-71.0,28.0
United Kingdom,Aberdeen City,2020-04-07,-79.0,-30.0,-9.0,-65.0,-71.0,28.0
United Kingdom,Aberdeen City,2020-04-08,-80.0,-32.0,-32.0,-67.0,-71.0,29.0
United Kingdom,Aberdeen City,2020-04-09,-80.0,-24.0,-19.0,-67.0,-72.0,29.0
United Kingdom,Aberdeen City,2020-04-10,-80.0,-25.0,-28.0,-68.0,-73.0,30.0
United Kingdom,Aberdeen City,2020-04-11,-85.0,-25.0,-2.0,-64.0,-61.0,
United Kingdom,Aberdeen City,2020-04-12,-87.0,-42.0,-46.0,-72.0,-58.0,
United Kingdom,Aberdeen City,2020-04-13,-82.0,-38.0,-20.0,-72.0,-76.0,30.0
United Kingdom,Aberdeen City,2020-04-14,-79.0,-29.0,-9.0,-64.0,-71.0,28.0
United Kingdom,Aberdeen City,2020-04-15,-78.0,-27.0,9.0,-65.0,-71.0,28.0
United Kingdom,Aberdeen City,2020-04-16,-80.0,-29.0,-16.0,-66.0,-71.0,29.0
United Kingdom,Aberdeen City,2020-04-17,-80.0,-27.0,-6.0,-67.0,-71.0,30.0
United Kingdom,Aberdeen City,2020-04-18,-86.0,-29.0,-4.0,-68.0,-58.0,
United Kingdom,Aberdeen City,2020-04-19,-84.0,-33.0,12.0,-65.0,-54.0,
United Kingdom,Aberdeen City,2020-04-20,-78.0,-31.0,32.0,-65.0,-70.0,27.0
United Kingdom,Aberdeen City,2020-04-21,-79.0,-29.0,33.0,-65.0,-69.0,27.0
United Kingdom,Aberdeen City,2020-04-22,-80.0,-30.0,15.0,-67.0,-69.0,28.0
United Kingdom,Aberdeen City,2020-04-23,-81.0,-26.0,42.0,-66.0,-69.0,28.0
United Kingdom,Aberdeen City,2020-04-24,-81.0,-27.0,-7.0,-70.0,-68.0,29.0
United Kingdom,Aberdeen City,2020-04-25,-85.0,-27.0,-7.0,-69.0,-56.0,
United Kingdom,Aberdeen City,2020-04-26,-84.0,-34.0,-28.0,-70.0,-55.0,
United Kingdom,Aberdeen City,2020-04-27,-80.0,-32.0,-13.0,-68.0,-69.0,27.0
United Kingdom,Aberdeen City,2020-04-28,-80.0,-29.0,8.0,-65.0,-69.0,25.0
United Kingdom,Aberdeen City,2020-04-29,-80.0,-29.0,10.0,-64.0,-68.0,28.0
United Kingdom,Aberdeen City,2020-04-30,-79.0,-27.0,1.0,-68.0,-69.0,29.0
United Kingdom,Aberdeen City,2020-05-01,-79.0,-27.0,5.0,-67.0,-68.0,28.0
United Kingdom,Aberdeen City,2020-05-02,-84.0,-26.0,-18.0,-68.0,-56.0,
United Kingdom,Aberdeen City,2020-05-03,-81.0,-33.0,-4.0,-67.0,-51.0,
United Kingdom,Aberdeen City,2020-05-04,-75.0,-28.0,40.0,-66.0,-67.0,26.0
United Kingdom,Aberdeen City,2020-05-05,-77.0,-27.0,34.0,-65.0,-67.0,26.0
United Kingdom,Aberdeen City,2020-05-06,-76.0,-22.0,48.0,-63.0,-67.0,27.0
United Kingdom,Aberdeen City,2020-05-07,-77.0,-19.0,53.0,-65.0,-68.0,27.0
United Kingdom,Aberdeen City,2020-05-08,-79.0,-25.0,-5.0,-71.0,-74.0,30.0
United Kingdom,Aberdeen City,2020-05-09,-84.0,-29.0,-10.0,-68.0,-56.0,
United Kingdom,Aberdeen City,2020-05-10,-82.0,-31.0,-30.0,-71.0,-49.0,
United Kingdom,Aberdeen City,2020-05-11,-74.0,-26.0,14.0,-67.0,-67.0,26.0
United Kingdom,Aberdeen City,2020-05-12,-78.0,-29.0,-22.0,-69.0,-67.0,27.0
United Kingdom,Aberdeen City,2020-05-13,-78.0,-26.0,-16.0,-66.0,-66.0,27.0
United Kingdom,Aberdeen City,2020-05-14,-76.0,-22.0,9.0,-66.0,-67.0,26.0
United Kingdom,Aberdeen City,2020-05-15,-77.0,-23.0,8.0,-67.0,-66.0,28.0
United Kingdom,Aberdeen City,2020-05-16,-81.0,-24.0,18.0,-64.0,-52.0,18.0
United Kingdom,Aberdeen City,2020-05-17,-80.0,-30.0,-9.0,-66.0,-47.0,
United Kingdom,Aberdeen City,2020-05-18,-72.0,-24.0,42.0,-61.0,-66.0,25.0
United Kingdom,Aberdeen City,2020-05-19,-74.0,-22.0,73.0,-61.0,-65.0,25.0
United Kingdom,Aberdeen City,2020-05-20,-73.0,-19.0,82.0,-59.0,-65.0,26.0
United Kingdom,Aberdeen City,2020-05-21,-74.0,-20.0,52.0,-65.0,-65.0,26.0
United Kingdom,Aberdeen City,2020-05-22,-75.0,-21.0,-17.0,-67.0,-65.0,28.0
United Kingdom,Aberdeen City,2020-05-23,-80.0,-22.0,9.0,-65.0,-49.0,18.0
United Kingdom,Aberdeen City,2020-05-24,-78.0,-26.0,35.0,-63.0,-44.0,
United Kingdom,Aberdeen City,2020-05-25,-70.0,-23.0,86.0,-63.0,-66.0,25.0
United Kingdom,Aberdeen City,2020-05-26,-71.0,-21.0,,-60.0,-63.0,24.0
United Kingdom,Aberdeen City,2020-05-27,-73.0,-21.0,59.0,-60.0,-63.0,25.0
United Kingdom,Aberdeen City,2020-05-28,-71.0,-16.0,102.0,-61.0,-63.0,25.0
United Kingdom,Aberdeen City,2020-05-29,-71.0,-10.0,152.0,-57.0,-62.0,23.0
United Kingdom,Aberdeenshire,2020-02-15,-9.0,-4.0,-25.0,-5.0,-7.0,2.0
United Kingdom,Aberdeenshire,2020-02-16,1.0,-3.0,-6.0,1.0,-3.0,0.0
United Kingdom,Aberdeenshire,2020-02-17,6.0,4.0,28.0,1.0,-17.0,2.0
United Kingdom,Aberdeenshire,2020-02-18,8.0,3.0,23.0,1.0,-11.0,1.0
United Kingdom,Aberdeenshire,2020-02-19,3.0,0.0,13.0,-7.0,-10.0,2.0
United Kingdom,Aberdeenshire,2020-02-20,4.0,2.0,10.0,4.0,1.0,0.0
United Kingdom,Aberdeenshire,2020-02-21,4.0,0.0,1.0,3.0,0.0,1.0
United Kingdom,Aberdeenshire,2020-02-22,0.0,-1.0,-1.0,6.0,0.0,1.0
United Kingdom,Aberdeenshire,2020-02-23,5.0,1.0,15.0,9.0,4.0,-1.0
United Kingdom,Aberdeenshire,2020-02-24,-11.0,-5.0,-13.0,-8.0,0.0,2.0
United Kingdom,Aberdeenshire,2020-02-25,2.0,5.0,8.0,1.0,1.0,1.0
United Kingdom,Aberdeenshire,2020-02-26,1.0,0.0,3.0,-1.0,2.0,1.0
United Kingdom,Aberdeenshire,2020-02-27,9.0,4.0,3.0,-4.0,2.0,0.0
United Kingdom,Aberdeenshire,2020-02-28,4.0,0.0,-10.0,2.0,0.0,1.0
United Kingdom,Aberdeenshire,2020-02-29,9.0,3.0,-1.0,6.0,0.0,0.0
United Kingdom,Aberdeenshire,2020-03-01,13.0,2.0,5.0,5.0,-1.0,0.0
United Kingdom,Aberdeenshire,2020-03-02,9.0,2.0,18.0,0.0,1.0,0.0
United Kingdom,Aberdeenshire,2020-03-03,11.0,-2.0,29.0,-1.0,2.0,0.0
United Kingdom,Aberdeenshire,2020-03-04,10.0,-2.0,29.0,1.0,2.0,0.0
United Kingdom,Aberdeenshire,2020-03-05,14.0,0.0,36.0,5.0,3.0,0.0
United Kingdom,Aberdeenshire,2020-03-06,12.0,-2.0,35.0,1.0,2.0,0.0
United Kingdom,Aberdeenshire,2020-03-07,6.0,-2.0,15.0,0.0,1.0,0.0
United Kingdom,Aberdeenshire,2020-03-08,13.0,-2.0,45.0,18.0,1.0,-2.0
United Kingdom,Aberdeenshire,2020-03-09,9.0,-3.0,35.0,-5.0,2.0,0.0
United Kingdom,Aberdeenshire,2020-03-10,9.0,0.0,30.0,-1.0,2.0,0.0
United Kingdom,Aberdeenshire,2020-03-11,8.0,2.0,21.0,-4.0,2.0,1.0
United Kingdom,Aberdeenshire,2020-03-12,10.0,12.0,9.0,2.0,1.0,1.0
United Kingdom,Aberdeenshire,2020-03-13,9.0,10.0,15.0,0.0,-1.0,1.0
United Kingdom,Aberdeenshire,2020-03-14,5.0,7.0,-6.0,-12.0,-3.0,3.0
United Kingdom,Aberdeenshire,2020-03-15,7.0,8.0,4.0,2.0,-5.0,1.0
United Kingdom,Aberdeenshire,2020-03-16,11.0,20.0,16.0,-8.0,-5.0,3.0
United Kingdom,Aberdeenshire,2020-03-17,4.0,25.0,18.0,-16.0,-11.0,6.0
United Kingdom,Aberdeenshire,2020-03-18,-1.0,24.0,21.0,-17.0,-18.0,9.0
United Kingdom,Aberdeenshire,2020-03-19,2.0,27.0,26.0,-15.0,-23.0,10.0
United Kingdom,Aberdeenshire,2020-03-20,-7.0,9.0,20.0,-21.0,-25.0,11.0
United Kingdom,Aberdeenshire,2020-03-21,-26.0,8.0,19.0,-25.0,-22.0,9.0
United Kingdom,Aberdeenshire,2020-03-22,-34.0,-10.0,28.0,-20.0,-26.0,
United Kingdom,Aberdeenshire,2020-03-23,-33.0,-7.0,-5.0,-36.0,-42.0,16.0
United Kingdom,Aberdeenshire,2020-03-24,-66.0,-23.0,-22.0,-56.0,-57.0,23.0
United Kingdom,Aberdeenshire,2020-03-25,-68.0,-28.0,-21.0,-59.0,-64.0,26.0
United Kingdom,Aberdeenshire,2020-03-26,-68.0,-29.0,-14.0,-59.0,-66.0,26.0
United Kingdom,Aberdeenshire,2020-03-27,-69.0,-31.0,-26.0,-62.0,-67.0,27.0
United Kingdom,Aberdeenshire,2020-03-28,-78.0,-39.0,-51.0,-66.0,-55.0,
United Kingdom,Aberdeenshire,2020-03-29,-80.0,-46.0,-45.0,-58.0,-52.0,
United Kingdom,Aberdeenshire,2020-03-30,-67.0,-34.0,-26.0,-57.0,-67.0,25.0
United Kingdom,Aberdeenshire,2020-03-31,-66.0,-32.0,-23.0,-61.0,-69.0,26.0
United Kingdom,Aberdeenshire,2020-04-01,-67.0,-33.0,-19.0,-60.0,-68.0,27.0
United Kingdom,Aberdeenshire,2020-04-02,-68.0,-36.0,-29.0,-62.0,-68.0,28.0
United Kingdom,Aberdeenshire,2020-04-03,-69.0,-34.0,-25.0,-59.0,-67.0,27.0
United Kingdom,Aberdeenshire,2020-04-04,-76.0,-39.0,-35.0,-56.0,-54.0,
United Kingdom,Aberdeenshire,2020-04-05,-76.0,-44.0,-35.0,-55.0,-51.0,
United Kingdom,Aberdeenshire,2020-04-06,-67.0,-35.0,-9.0,-58.0,-68.0,25.0
United Kingdom,Aberdeenshire,2020-04-07,-66.0,-31.0,-12.0,-52.0,-69.0,26.0
United Kingdom,Aberdeenshire,2020-04-08,-68.0,-32.0,-28.0,-58.0,-69.0,27.0
United Kingdom,Aberdeenshire,2020-04-09,-65.0,-29.0,-17.0,-55.0,-69.0,27.0
United Kingdom,Aberdeenshire,2020-04-10,-69.0,-35.0,-23.0,-57.0,-70.0,28.0
United Kingdom,Aberdeenshire,2020-04-11,-75.0,-35.0,-25.0,-54.0,-53.0,
United Kingdom,Aberdeenshire,2020-04-12,-79.0,-48.0,-46.0,-55.0,-52.0,
United Kingdom,Aberdeenshire,2020-04-13,-71.0,-39.0,-22.0,-61.0,-71.0,27.0
United Kingdom,Aberdeenshire,2020-04-14,-67.0,-31.0,-13.0,-53.0,-69.0,26.0
United Kingdom,Aberdeenshire,2020-04-15,-65.0,-30.0,-9.0,-54.0,-68.0,27.0
United Kingdom,Aberdeenshire,2020-04-16,-63.0,-31.0,-17.0,-54.0,-69.0,27.0
United Kingdom,Aberdeenshire,2020-04-17,-65.0,-31.0,-20.0,-54.0,-68.0,27.0
United Kingdom,Aberdeenshire,2020-04-18,-74.0,-34.0,-24.0,-52.0,-51.0,
United Kingdom,Aberdeenshire,2020-04-19,-73.0,-41.0,-16.0,-43.0,-47.0,
United Kingdom,Aberdeenshire,2020-04-20,-63.0,-31.0,4.0,-50.0,-66.0,24.0
United Kingdom,Aberdeenshire,2020-04-21,-65.0,-29.0,2.0,-48.0,-66.0,25.0
United Kingdom,Aberdeenshire,2020-04-22,-62.0,-30.0,-3.0,-48.0,-66.0,26.0
United Kingdom,Aberdeenshire,2020-04-23,-61.0,-26.0,3.0,-48.0,-66.0,26.0
United Kingdom,Aberdeenshire,2020-04-24,-62.0,-30.0,-12.0,-52.0,-66.0,26.0
United Kingdom,Aberdeenshire,2020-04-25,-70.0,-34.0,-25.0,-47.0,-51.0,
United Kingdom,Aberdeenshire,2020-04-26,-70.0,-39.0,-35.0,-47.0,-46.0,
United Kingdom,Aberdeenshire,2020-04-27,-60.0,-31.0,-19.0,-53.0,-64.0,25.0
United Kingdom,Aberdeenshire,2020-04-28,-61.0,-29.0,-11.0,-48.0,-65.0,23.0
United Kingdom,Aberdeenshire,2020-04-29,-60.0,-30.0,-15.0,-51.0,-64.0,26.0
United Kingdom,Aberdeenshire,2020-04-30,-61.0,-27.0,-19.0,-50.0,-65.0,26.0
United Kingdom,Aberdeenshire,2020-05-01,-61.0,-30.0,-20.0,-51.0,-64.0,26.0
United Kingdom,Aberdeenshire,2020-05-02,-69.0,-33.0,-29.0,-51.0,-48.0,
United Kingdom,Aberdeenshire,2020-05-03,-66.0,-40.0,-21.0,-49.0,-44.0,
United Kingdom,Aberdeenshire,2020-05-04,-57.0,-29.0,2.0,-44.0,-63.0,23.0
United Kingdom,Aberdeenshire,2020-05-05,-60.0,-27.0,4.0,-44.0,-63.0,24.0
United Kingdom,Aberdeenshire,2020-05-06,-59.0,-26.0,10.0,-42.0,-63.0,25.0
United Kingdom,Aberdeenshire,2020-05-07,-57.0,-21.0,6.0,-43.0,-64.0,25.0
United Kingdom,Aberdeenshire,2020-05-08,-62.0,-30.0,-25.0,-53.0,-69.0,27.0
